训练集的比例,SUP,集成硬匹配规则,集成软匹配规则
0%,26.29,43.86,69.73
20%,17.22,63.97,72.34
40%,0,71.09,70.84
60%,64.02,68.13,75.98
80%,64.26,71.24,72.06
100%,67.36,67.74,74.93
