训练集的比例,SUP,集成硬匹配规则,集成软匹配规则
0%,33.86,85.78,76.08
20%,79.64,87.23,84.6
40%,85.65,89.93,88.45
60%,89.7,91.45,89.96
80%,91.88,90.49,89.9
100%,87.68,91.53,90.84
