训练集的比例,SUP,集成硬匹配规则,集成软匹配规则
0%,11.26,43.72,57.47
20%,51.09,58.14,63.81
40%,56.53,59.63,64.55
60%,60.66,61.58,64.82
80%,60.79,62.58,65.25
100%,60.76,63.8,65.81
