训练集的比例,SUP,集成硬匹配规则,集成软匹配规则
0%,11.11,33.6,39.52
20%,30.06,45.33,49.68
40%,38.98,46.16,52.86
60%,44.66,50.79,55.06
80%,46.14,49.27,55.74
100%,47.31,50.27,56.21
