训练集的比例,SUP,集成硬匹配规则,集成软匹配规则
0%,18.26,27.76,46.42
20%,7.18,46.91,60.04
40%,11.67,69.22,73.03
60%,40.2,71.56,69.60
80%,65.8,66.62,67.90
100%,62.29,68.1,74.75
