训练集的比例,SUP,集成硬匹配规则,集成软匹配规则
0%,32.56,84.85,48.04
20%,80.99,87.17,85.74
40%,84.45,87.05,90.67
60%,87.61,88.16,91.41
80%,84.45,88.66,92.61
100%,90.9,89.81,92.77
