训练集的比例,SUP,集成硬匹配规则,集成软匹配规则
0%,34.52,74.21,70.37
20%,80.4,82.87,81.3
40%,80.24,82.45,83.13
60%,83.21,83.38,82.21
80%,84.31,83.95,85.1
100%,84.48,85.52,84.98
