训练集的比例,SUP,集成硬匹配规则,集成软匹配规则
0%,21.96,66.36,73.79
20%,0,50.18,75.93
40%,19.44,66.91,69.02
60%,62.52,69.22,69.14
80%,59.49,64.92,64.25
100%,62.51,65.66,66.93
