训练集的比例,SUP,集成硬匹配规则,集成软匹配规则
0%,38.09,69.01,81.7
20%,2.38,76.92,86.51
40%,81.75,90.12,90.14
60%,88.15,89.9,91.36
80%,88.21,89.46,90.69
100%,88.21,92.88,89.64
