训练集的比例,SUP,集成硬匹配规则,集成软匹配规则
0%,24.82,59.24,83.59
20%,20.9,69.14,81.68
40%,62.36,82.6,86.3
60%,80.97,81.45,83.7
80%,81.38,85.26,88.61
100%,79.97,89.89,86.67
