训练集的比例,SUP,集成硬匹配规则,集成软匹配规则
0%,17.49,49.27,52.15
20%,33.2,42.16,61.99
40%,34.1,44.4,64.65
60%,40.38,48.37,65.58
80%,41.86,52.04,65.31
100%,49.06,52.01,64.5
