训练集的比例,SUP,集成硬匹配规则,集成软匹配规则
0%,12.53,70.57,80.19
20%,25.1,87.45,84.62
40%,77.95,82.73,84.05
60%,82.88,84.64,82.27
80%,82.39,86.27,80.14
100%,83.89,88.73,85.87
