训练集的比例,SUP,集成硬匹配规则,集成软匹配规则
0%,13.85,48.8,64.73
20%,0,65.99,72.28
40%,39.31,68.84,74.38
60%,64.02,72.46,73.83
80%,62.63,73.32,71.24
100%,65.95,69.74,72.16
