训练集的比例,SUP,集成硬匹配规则,集成软匹配规则
0%,18.3,42.34,54.9
20%,50.6,59.22,60.98
40%,55.5,59.53,61.54
60%,59.74,62.03,63.56
80%,60.8,63.88,66.6
100%,61.99,64.79,67.02
