训练集的比例,SUP,集成硬匹配规则,集成软匹配规则
0%,25.52,87.91,89.04
20%,64.49,90.63,88.72
40%,89.14,90.28,90.92
60%,86.44,87.91,91.73
80%,91.93,93.68,92.43
100%,91.82,95.76,93.51
